subID,time,block,difficulty,diffQ,diff,intercept_frontal,lgHz_frontal,intercept_central,lgHz_central,intercept_parietal,lgHz_parietal,intercept_occipital,lgHz_occipital,offset_frontal,slope_frontal,offset_central,slope_central,offset_parietal,slope_parietal,offset_occipital,slope_occipital
a01,prac,b01,N1,Q1,1,0.988687627,-0.480392927,3.008380382,-1.27352936,3.261482095,-1.385005164,3.10634135,-1.295247521,0.483693958,0.621707462,1.128966416,1.239060787,1.174370491,1.296301595,1.152631454,1.278508585
a01,prac,b02,N1,Q1,1,0.952362218,-0.456513648,3.133818106,-1.324031825,3.541830477,-1.499227743,3.471542006,-1.480107346,0.496022005,0.632933003,1.178457198,1.310516694,1.271012701,1.395281952,1.298023584,1.471001807
a01,prac,b03,N2,Q1,2,0.931663743,-0.489309707,3.004762642,-1.300270497,3.316713616,-1.458444,3.314184743,-1.474893165,0.511339153,0.702575306,1.141586254,1.328459493,1.142136516,1.358791929,1.189116718,1.452386575
a01,prac,b04,P1,Q2,4,1.356201204,-0.697018079,3.362773087,-1.457345042,3.609587501,-1.584056594,3.393618386,-1.49993515,0.609879778,0.810377097,1.270274875,1.42636021,1.292854736,1.464804417,1.164947639,1.407553303
a01,prac,b05,P1,Q2,4,1.304659493,-0.682671623,3.113956119,-1.321972359,3.519321904,-1.510469247,3.379219229,-1.471785851,0.641469512,0.858653419,1.202394726,1.352576913,1.246125154,1.3936456,1.266023284,1.476771508
a01,prac,b06,P2,Q2,5,1.556394161,-0.802379616,3.421352563,-1.462982302,3.799312654,-1.652609555,3.634287387,-1.607600958,0.663482427,0.897132186,1.287746546,1.448576868,1.29926928,1.466625659,1.296524954,1.52143146
a01,prac,b07,P3,Q2,6,1.524024649,-0.745830619,3.134739971,-1.31154798,3.314464799,-1.411979715,3.269656283,-1.384995874,0.681656742,0.870020657,1.172631039,1.288511216,1.136988349,1.281651885,1.174132999,1.348783843
a01,prac,b08,P3,Q2,6,1.583351752,-0.816020081,3.390652057,-1.447598863,3.659061926,-1.574113392,3.470383042,-1.503518111,0.719841665,0.938669819,1.248210786,1.371960591,1.212883482,1.363344656,1.243466265,1.446349079
a01,prac,b09,P3,Q2,6,1.826066431,-0.889585957,3.571522515,-1.500112569,3.821618526,-1.621482661,3.611940782,-1.55571963,0.782486675,0.984125529,1.243147868,1.243147868,1.311263418,1.468089654,1.267716455,1.503360062
a01,prac,b10,P3,Q2,6,1.749338789,-0.898393914,3.671057556,-1.604728132,3.938039625,-1.737073369,3.759489377,-1.68396905,0.753224091,0.980089369,1.35711733,1.553291254,1.356980611,1.568164111,1.289425187,1.581442832
a01,prac,b11,E1,Q3,7,1.601297686,-0.800892528,3.380927327,-1.443336047,3.570987954,-1.547385981,3.403575663,-1.483095065,0.640775291,0.834586691,1.222932817,1.347460105,1.217810844,1.372944911,1.216437668,1.428716121
a01,prac,b12,E1,Q3,7,2.039446834,-0.963283484,3.60343806,-1.481960625,3.724651694,-1.547598981,3.387877238,-1.427047813,0.819259045,0.996422961,1.28167836,1.333711387,1.300416742,1.356028608,1.212059816,1.323420564
a01,prac,b13,E1,Q3,7,1.847449478,-0.92809787,3.485200959,-1.473008631,3.724518391,-1.566037764,3.572047444,-1.509437067,0.724032337,0.953929105,1.234256975,1.314067011,1.299014907,1.398844954,1.245107506,1.394032591
a01,prac,b14,E1,Q3,7,1.985359501,-0.947478398,3.74308874,-1.577808465,3.863126714,-1.637352394,3.595461364,-1.539079149,0.767154439,0.967412628,1.329161391,1.439492332,1.348375888,1.447157933,1.255690649,1.410177604
a01,prac,b15,E1,Q3,7,2.066558031,-0.983930243,3.677598317,-1.525507305,3.754149678,-1.586394892,3.452782062,-1.48191254,0.821740113,1.005512473,1.371093611,1.471611384,1.339403363,1.469298025,1.275384553,1.484483127
a01,prac,b16,E1,Q3,7,1.82505532,-0.877931064,3.713895651,-1.547208845,4.067207294,-1.6965797,3.859485275,-1.630962763,0.766793722,0.944065065,1.366263655,1.449741937,1.434468784,1.530036807,1.385791384,1.531513915
a01,prac,b17,E1,Q3,7,1.878898329,-0.934543449,3.542401146,-1.504206473,3.829550192,-1.637660545,3.687893006,-1.585304153,0.773882803,1.027685642,1.231336179,1.40113258,1.337281318,1.500799055,1.344912844,1.567166172
a01,prac,b18,E2,Q3,8,1.783838322,-0.879887111,3.602343417,-1.51920701,3.788295195,-1.633261205,3.611384492,-1.566782211,0.775250138,0.996409425,1.26891958,1.406818571,1.340963018,1.476834482,1.322684237,1.550156487
a01,prac,b19,E2,Q3,8,1.680135037,-0.806293852,3.585055465,-1.509738548,3.933832109,-1.658048117,3.744073878,-1.597655581,0.747812436,0.912567481,1.323877869,1.43275194,1.388709318,1.488356671,1.353439265,1.508682932
a01,prac,b20,E3,Q3,9,1.818464208,-0.866661525,3.627071706,-1.531230253,3.72224685,-1.614387103,3.429905488,-1.488647674,0.60617579,0.801155223,1.288381746,1.354955782,1.246956001,1.3598667,1.219792465,1.385711458
a01,ave_prac,ave_prac,,,,1.614962641,-0.797355785,3.438701789,-1.455866557,3.68799996,-1.577958406,3.507757425,-1.513384834,0.689298606,0.886801527,1.257421761,1.375710246,1.284864246,1.42284348,1.258665446,1.453582501
a01,rest,posttest,,,,0.948053558,-0.550936455,3.302148929,-1.485298166,3.467042407,-1.516012997,3.131452969,-1.379805798,0.299,0.4796,1.3002,1.4899,1.37779785,1.5669071,1.25878325,1.46546873
a01,rest,pretest,,,,1.337225142,-0.821092472,3.324099975,-1.538292109,3.643900117,-1.638301933,3.354472698,-1.498977172,0.47072719,0.76405637,1.27576043,1.49954333,1.44249033,1.67124622,1.38967979,1.61432038
a02,prac,b01,N1,Q1,1,1.571654625,-0.690101552,3.011481315,-1.264252584,2.86072707,-1.180240924,2.647794159,-1.029772558,0.684830998,0.784800366,1.18333762,1.376704777,1.195465691,1.405198793,1.162302828,1.276560996
a02,prac,b02,N2,Q1,2,1.360506289,-0.57513619,2.983919702,-1.276097887,2.92485794,-1.247424765,2.644429071,-1.076066405,0.585736904,0.651177333,1.115380474,1.314709456,1.155575778,1.391422746,1.109250699,1.291969959
a02,prac,b03,P1,Q2,4,1.202908961,-0.436570352,3.164765971,-1.28570712,3.03722098,-1.237208062,2.680896608,-1.036387494,0.545276952,0.545700152,1.153537893,1.222784708,1.153307497,1.259296697,1.0343347,1.09726687
a02,prac,b04,P1,Q2,4,1.536777005,-0.64708721,3.058378478,-1.270843726,3.032893962,-1.24588581,2.577234321,-0.980861059,0.655250932,0.725922091,1.215353954,1.371744653,1.281657948,1.435541855,1.194318429,1.273481265
a02,prac,b05,P1,Q2,4,1.464738014,-0.62829273,2.979230675,-1.242778851,2.901940277,-1.21335959,2.592422459,-1.034866879,0.687787092,0.783961323,1.183515109,1.387127738,1.221044456,1.433295829,1.136455473,1.286846953
a02,prac,b06,P2,Q2,5,1.440442579,-0.581880335,3.149141904,-1.309663192,3.062760673,-1.264809508,2.659968335,-1.051917548,0.622074387,0.664436564,1.173976577,1.32173094,1.174541982,1.33541352,1.128960797,1.241128844
a02,prac,b07,P2,Q2,5,1.577608499,-0.638360075,3.165334023,-1.313770328,2.959473142,-1.21114604,2.548638306,-0.968331817,0.609212379,0.660078613,1.180400569,1.315540687,1.188771241,1.188771241,1.093669001,1.165856376
a02,prac,b08,P2,Q2,5,1.666677998,-0.638501539,3.175413426,-1.287618686,3.14201113,-1.272161566,2.770014405,-1.108962337,0.678252558,0.683152555,1.225154042,1.352048058,1.257472999,1.422239346,1.158700089,1.307190092
a02,prac,b09,P3,Q2,6,1.483428324,-0.575517222,3.187109809,-1.302295046,3.059231119,-1.247066435,2.646881096,-1.036498476,0.646979394,0.666821646,1.276066194,1.373236448,1.275436528,1.420435676,1.151332376,1.28365723
a02,prac,b10,P3,Q2,6,1.382743251,-0.531714601,3.303949279,-1.349532839,3.15285328,-1.290582356,2.671163531,-1.078886493,0.562564778,0.597353986,1.283175847,1.378136653,1.237632997,1.408119592,1.127277366,1.273379104
a02,prac,b11,N2,Q1,2,1.146135071,-0.477211081,2.949863911,-1.241207145,2.955035176,-1.222338911,2.679307259,-1.060932388,0.532856687,0.598220293,1.145865025,1.338197439,1.244842521,1.456085803,1.155212442,1.30492413
a02,prac,b12,P3,Q2,6,1.030958882,-0.40001728,2.853213332,-1.176916455,2.886506808,-1.179679719,2.749413527,-1.063432299,0.48776965,0.552113,1.096323563,1.29022939,1.174365808,1.400088675,1.205462605,1.337587251
a02,prac,b13,E1,Q3,7,1.360326629,-0.558703594,3.448991768,-1.40910013,3.043991759,-1.260508175,2.682223799,-1.048852889,0.586518875,0.634034033,1.320550038,1.382446764,1.194627102,1.363892279,1.136384896,1.256950407
a02,prac,b14,P1,Q2,4,1.028439834,-0.407444052,3.384608964,-1.362520786,2.855678612,-1.198826991,2.627507309,-1.058027868,0.454643584,0.510178431,1.31004227,1.344430566,1.137610327,1.388247965,1.132816163,1.350822016
a02,prac,b15,P2,Q2,5,1.222054464,-0.503274098,3.714608472,-1.476163103,3.015490746,-1.24297302,2.760716506,-1.100938598,0.559988249,0.616150857,1.470424805,1.466943935,1.26223722,1.498034709,1.211225965,1.398998598
a02,prac,b16,P2,Q2,5,1.157237439,-0.460602396,4.632850841,-1.751275257,3.029539977,-1.241242789,2.723505522,-1.06857716,0.499567785,0.550195296,1.820348529,1.66090366,1.271662753,1.507691202,1.240163844,1.434657615
a02,prac,b17,P2,Q2,5,1.253753396,-0.5042933,4.458026863,-1.659463226,2.864536311,-1.165318223,2.603248569,-1.011521435,0.572606228,0.62766951,1.752893932,1.557309812,1.212352927,1.420951128,1.140618764,1.300600843
a02,prac,b18,N2,Q1,2,1.11346175,-0.4654889,5.524264363,-1.992479671,2.912851632,-1.211802017,2.736538686,-1.093741699,0.501733354,0.584113141,2.106856193,1.764828495,1.264860839,1.535919133,1.187060908,1.384355182
a02,prac,b19,N1,Q1,1,1.046889952,-0.413331074,4.805579914,-1.726189039,2.995393394,-1.231745752,2.854356701,-1.169701143,0.512094998,0.557318639,1.740066572,1.425116454,1.297191984,1.552590638,1.257884345,1.49750782
a02,prac,b20,E3,Q3,9,1.732522365,-0.744233824,5.670976209,-1.962614934,3.318250228,-1.354615388,2.771036484,-1.098641294,0.752660772,0.835099706,1.565725661,1.237778708,1.303508232,1.428017201,1.120166023,1.227308411
a02,ave_prac,ave_prac,,,,1.338963266,-0.54388807,3.631085461,-1.4330245,3.000562211,-1.235946802,2.681364833,-1.058845892,0.586920328,0.641424877,1.365949743,1.394097467,1.225208342,1.412562701,1.154179886,1.299552498
a02,rest,posttest,,,,1.142531567,-0.46819703,2.043593273,-0.553514815,2.75268218,-0.859100315,2.755583064,-0.890761791,0.272,0.3272,0.69,0.4963,0.82320431,0.65962241,0.95171808,0.81934107
a02,rest,pretest,,,,1.04836147,-0.576862471,2.530483154,-0.986660676,2.598069632,-0.905208221,2.713552505,-0.960430267,0.31165215,0.48939774,0.96969591,0.96216473,0.87819482,0.78384416,1.00900251,0.95809361
a03,prac,b01,N1,Q1,1,-1.935495902,-1.797801404,-1.251145236,-1.85296636,-1.383132242,-1.853940834,-1.784769562,-1.739546623,0.926470157,1.18528343,1.581425296,1.490751914,1.570559815,1.51847954,1.452448819,1.481024089
a03,prac,b02,N2,Q1,2,2.395218255,-1.180820188,4.292740429,-1.653303483,4.310370047,-1.727149305,3.900315577,-1.564217606,0.931793722,1.214619824,1.588304024,1.542669119,1.55826782,1.56868655,1.445107664,1.517721729
a03,prac,b03,N2,Q1,2,2.559853819,-1.2398705,4.213023917,-1.612022811,4.207150669,-1.665264527,3.773297353,-1.476299242,1.022566536,1.287520309,1.599780587,1.567584744,1.571806887,1.614186138,1.493204295,1.580313565
