subID,time,block,difficulty,diffQ,diff,intercept_frontal,lgHz_frontal,intercept_central,lgHz_central,intercept_parietal,lgHz_parietal,intercept_occipital,lgHz_occipital,offset_frontal,slope_frontal,offset_central,slope_central,offset_parietal,slope_parietal,offset_occipital,slope_occipital
a01,prac,b01,N1,Q1,1,0.988687627,-0.480392927,3.008380382,-1.27352936,3.261482095,-1.385005164,3.10634135,-1.295247521,0.337684233,0.38707438,1.207943685,1.216490087,1.326205151,1.345287857,1.31155331,1.33987204
a01,prac,b02,N1,Q1,1,0.952362218,-0.456513648,3.133818106,-1.324031825,3.541830477,-1.499227743,3.471542006,-1.480107346,0.318469511,0.359503193,1.264584927,1.276662947,1.459511762,1.49097935,1.466261408,1.522253174
a01,prac,b03,N2,Q1,2,0.931663743,-0.489309707,3.004762642,-1.300270497,3.316713616,-1.458444,3.314184743,-1.474893165,0.051156342,0.18052955,1.180474975,1.232657134,1.329611574,1.4248655,1.401233093,1.539757875
a01,prac,b04,P1,Q2,4,1.356201204,-0.697018079,3.362773087,-1.457345042,3.609587501,-1.584056594,3.393618386,-1.49993515,0.511387241,0.617213948,1.415020689,1.450873843,1.509892394,1.576365777,1.458851732,1.567220824
a01,prac,b05,P1,Q2,4,1.304659493,-0.682671623,3.113956119,-1.321972359,3.519321904,-1.510469247,3.379219229,-1.471785851,0.19658372,0.373541677,1.255113875,1.269156969,1.464521695,1.524526438,1.437764863,1.532600805
a01,prac,b06,P2,Q2,5,1.556394161,-0.802379616,3.421352563,-1.462982302,3.799312654,-1.652609555,3.634287387,-1.607600958,0.56993583,0.709644696,1.400688443,1.429271248,1.581927135,1.658887291,1.539648973,1.662357082
a01,prac,b07,P3,Q2,6,1.524024649,-0.745830619,3.134739971,-1.31154798,3.314464799,-1.411979715,3.269656283,-1.384995874,0.350434978,0.480062092,1.290933201,1.294717019,1.318624265,1.363407307,1.322416629,1.379367081
a01,prac,b08,P3,Q2,6,1.583351752,-0.816020081,3.390652057,-1.447598863,3.659061926,-1.574113392,3.470383042,-1.503518111,0.622108675,0.74829924,1.397430816,1.412705074,1.484862137,1.553936292,1.478026543,1.566316717
a01,prac,b09,P3,Q2,6,1.826066431,-0.889585957,3.571522515,-1.500112569,3.821618526,-1.621482661,3.611940782,-1.55571963,0.713511615,0.818000557,1.455785954,1.468849175,1.527033226,1.592365071,1.442364797,1.5557071
a01,prac,b10,P3,Q2,6,1.749338789,-0.898393914,3.671057556,-1.604728132,3.938039625,-1.737073369,3.759489377,-1.68396905,0.6937629,0.828893306,1.453844233,1.52591322,1.643133754,1.75393958,1.621693018,1.782753677
a01,prac,b11,E1,Q3,7,1.601297686,-0.800892528,3.380927327,-1.443336047,3.570987954,-1.547385981,3.403575663,-1.483095065,0.611507834,0.723763453,1.402853677,1.436717473,1.468967752,1.549179146,1.417962827,1.528675013
a01,prac,b12,E1,Q3,7,2.039446834,-0.963283484,3.60343806,-1.481960625,3.724651694,-1.547598981,3.387877238,-1.427047813,0.506957684,0.652126506,1.487895292,1.440231467,1.548701451,1.533790282,1.410282617,1.436249575
a01,prac,b13,E1,Q3,7,1.847449478,-0.92809787,3.485200959,-1.473008631,3.724518391,-1.566037764,3.572047444,-1.509437067,0.821143202,0.997827303,1.42636437,1.432294839,1.524952936,1.548640635,1.494029076,1.547974933
a01,prac,b14,E1,Q3,7,1.985359501,-0.947478398,3.74308874,-1.577808465,3.863126714,-1.637352394,3.595461364,-1.539079149,0.506608942,0.657065441,1.551849952,1.541725797,1.586958437,1.600211361,1.465409897,1.505858458
a01,prac,b15,E1,Q3,7,2.066558031,-0.983930243,3.677598317,-1.525507305,3.754149678,-1.586394892,3.452782062,-1.48191254,0.814080612,0.914703153,1.538760396,1.522203955,1.539110094,1.572586261,1.447960994,1.527355631
a01,prac,b16,E1,Q3,7,1.82505532,-0.877931064,3.713895651,-1.547208845,4.067207294,-1.6965797,3.859485275,-1.630962763,0.932982749,1.065326064,1.581538901,1.566110722,1.686750498,1.665602261,1.623907108,1.661828859
a01,prac,b17,E1,Q3,7,1.878898329,-0.934543449,3.542401146,-1.504206473,3.829550192,-1.637660545,3.687893006,-1.585304153,0.710600963,0.858847079,1.447669002,1.469288922,1.636097695,1.710492096,1.604403615,1.702307723
a01,prac,b18,E2,Q3,8,1.783838322,-0.879887111,3.602343417,-1.51920701,3.788295195,-1.633261205,3.611384492,-1.566782211,0.680862481,0.802533757,1.474505239,1.478740852,1.536746605,1.577178287,1.541464615,1.629770423
a01,prac,b19,E2,Q3,8,1.680135037,-0.806293852,3.585055465,-1.509738548,3.933832109,-1.658048117,3.744073878,-1.597655581,0.657380003,0.729671401,1.46360315,1.458961381,1.655223517,1.67029294,1.581423947,1.649741163
a01,prac,b20,E3,Q3,9,1.818464208,-0.866661525,3.627071706,-1.531230253,3.72224685,-1.614387103,3.429905488,-1.488647674,0.706463696,0.799254844,1.501051318,1.488194672,1.53072717,1.586951031,1.45857369,1.545990506
a01,ave_prac,ave_prac,,,,1.614962641,-0.797355785,3.438701789,-1.455866557,3.68799996,-1.577958406,3.507757425,-1.513384834,0.565681161,0.685194082,1.409895605,1.42058834,1.517977962,1.564974238,1.476261638,1.559197933
a01,rest,posttest,,,,0.948053558,-0.550936455,3.302148929,-1.485298166,3.467042407,-1.516012997,3.131452969,-1.379805798,0.258930911,0.433787235,1.296457876,1.485017547,1.385189933,1.577695005,1.268233504,1.476237546
a01,rest,pretest,,,,1.337225142,-0.821092472,3.324099975,-1.538292109,3.643900117,-1.638301933,3.354472698,-1.498977172,0.433146525,0.717740185,1.271024145,1.493328558,1.437683938,1.665055681,1.390990094,1.612715393
a02,prac,b01,N1,Q1,1,1.571654625,-0.690101552,3.011481315,-1.264252584,2.86072707,-1.180240924,2.647794159,-1.029772558,0.624486931,0.630109753,1.162057131,1.174653223,1.184123098,1.176917297,1.147431601,1.089448371
a02,prac,b02,N2,Q1,2,1.360506289,-0.57513619,2.983919702,-1.276097887,2.92485794,-1.247424765,2.644429071,-1.076066405,0.501785268,0.481274705,1.090717481,1.12762724,1.139327346,1.181604177,1.148332885,1.1555331
a02,prac,b03,P1,Q2,4,1.202908961,-0.436570352,3.164765971,-1.28570712,3.03722098,-1.237208062,2.680896608,-1.036387494,0.406700448,0.326579116,1.230714976,1.193125968,1.243179538,1.222283462,1.127532639,1.071696036
a02,prac,b04,P1,Q2,4,1.536777005,-0.64708721,3.058378478,-1.270843726,3.032893962,-1.24588581,2.577234321,-0.980861059,0.562217097,0.543275284,1.211326223,1.191882905,1.30279291,1.28257291,1.152836685,1.076978088
a02,prac,b05,P1,Q2,4,1.464738014,-0.62829273,2.979230675,-1.242778851,2.901940277,-1.21335959,2.592422459,-1.034866879,0.730227554,0.767822274,1.186412622,1.193310055,1.206544325,1.209793962,1.103969225,1.08576112
a02,prac,b06,P2,Q2,5,1.440442579,-0.581880335,3.149141904,-1.309663192,3.062760673,-1.264809508,2.659968335,-1.051917548,0.553046587,0.50606616,1.215728971,1.208223523,1.214905921,1.221164099,1.15107192,1.104312833
a02,prac,b07,P2,Q2,5,1.577608499,-0.638360075,3.165334023,-1.313770328,2.959473142,-1.21114604,2.548638306,-0.968331817,0.538677804,0.508954587,1.224257163,1.195914368,1.181965623,1.153515766,1.132711745,1.070604356
a02,prac,b08,P2,Q2,5,1.666677998,-0.638501539,3.175413426,-1.287618686,3.14201113,-1.272161566,2.770014405,-1.108962337,0.605260097,0.530528539,1.216701281,1.168776741,1.301586092,1.292831546,1.209508544,1.196163799
a02,prac,b09,P3,Q2,6,1.483428324,-0.575517222,3.187109809,-1.302295046,3.059231119,-1.247066435,2.646881096,-1.036498476,0.542485869,0.477290529,1.359629573,1.333568078,1.272109194,1.238398947,1.151588956,1.112662433
a02,prac,b10,P3,Q2,6,1.382743251,-0.531714601,3.303949279,-1.349532839,3.15285328,-1.290582356,2.671163531,-1.078886493,0.444418659,0.394096537,1.260415452,1.208780037,1.339715489,1.329255565,1.168587555,1.162951274
a02,prac,b11,N2,Q1,2,1.146135071,-0.477211081,2.949863911,-1.241207145,2.955035176,-1.222338911,2.679307259,-1.060932388,0.397278816,0.372035932,1.161136369,1.159631336,1.238720903,1.241656744,1.190374632,1.190327872
a02,prac,b12,P3,Q2,6,1.030958882,-0.40001728,2.853213332,-1.176916455,2.886506808,-1.179679719,2.749413527,-1.063432299,0.303678717,0.267678268,1.106245293,1.087584574,1.244783894,1.252765801,1.222374643,1.195658102
