"","X.Intercept.","lgHz"
"a01:b01",3.00838038240806,-1.27352936031859
"a01:b02",3.13381810557619,-1.32403182475513
"a01:b03",3.004762642431,-1.30027049745631
"a01:b04",3.36277308693004,-1.45734504172324
"a01:b05",3.11395611855826,-1.32197235894566
"a01:b06",3.42135256326526,-1.46298230238857
"a01:b07",3.1347399713674,-1.31154798038203
"a01:b08",3.39065205676863,-1.44759886309995
"a01:b09",3.57152251490606,-1.50011256939768
"a01:b10",3.67105755596568,-1.60472813224411
"a01:b11",3.38092732665135,-1.44333604726284
"a01:b12",3.603438059866,-1.48196062497033
"a01:b13",3.48520095911532,-1.47300863069638
"a01:b14",3.74308873986056,-1.57780846486608
"a01:b15",3.67759831706105,-1.52550730471321
"a01:b16",3.71389565052929,-1.54720884471636
"a01:b17",3.54240114562563,-1.50420647263779
"a01:b18",3.60234341722672,-1.51920700952459
"a01:b19",3.58505546458098,-1.50973854815388
"a01:b20",3.62707170600765,-1.53123025278849
"a01:posttest",3.30214892859001,-1.48529816642679
"a01:pretest",3.32409997454051,-1.5382921085367
"a02:b01",3.01148131521954,-1.2642525835947
"a02:b02",2.98391970242548,-1.27609788688133
"a02:b03",3.16476597102426,-1.28570711990153
"a02:b04",3.05837847806814,-1.27084372566631
"a02:b05",2.97923067538167,-1.24277885148821
"a02:b06",3.14914190390112,-1.30966319240974
"a02:b07",3.16533402342085,-1.31377032758353
"a02:b08",3.17541342603526,-1.28761868569443
"a02:b09",3.18710980929925,-1.30229504584852
"a02:b10",3.30394927871472,-1.34953283945101
"a02:b11",2.94986391099789,-1.24120714472845
"a02:b12",2.85321333212842,-1.17691645533483
"a02:b13",3.44899176785717,-1.40910013038866
"a02:b14",3.38460896443509,-1.36252078595759
"a02:b15",3.71460847163989,-1.47616310259563
"a02:b16",4.63285084064627,-1.75127525664512
"a02:b17",4.45802686314588,-1.65946322575095
"a02:b18",5.52426436290297,-1.99247967129367
"a02:b19",4.80557991354717,-1.72618903927585
"a02:b20",5.67097620946961,-1.96261493394916
"a02:posttest",2.04359327327524,-0.5535148154771
"a02:pretest",2.53048315355666,-0.9866606763028
"a03:b01",-1.25114523632325,-1.8529663597876
"a03:b02",4.29274042874268,-1.65330348347243
"a03:b03",4.21302391657079,-1.61202281124651
"a03:b04",4.4393216178553,-1.69787726467578
"a03:b05",4.38971206748639,-1.6937501953278
"a03:b06",4.15684302539528,-1.61861598265163
"a03:b07",4.36385186154595,-1.70720718595948
"a03:b08",4.52697578633223,-1.74711341611814
"a03:b09",4.0119287262454,-1.5193767707173
"a03:b10",4.37796958838894,-1.66230046725758
"a03:b11",4.27686706032813,-1.66846629329834
"a03:b12",4.31932856392361,-1.65514809061129
"a03:b13",4.22211137918142,-1.62297856403864
"a03:b14",4.08484769783147,-1.60450381858027
"a03:b15",4.69728117997728,-1.83371278568644
"a03:b16",4.27929390160394,-1.7098736054635
"a03:b17",4.20160450142502,-1.62964636814865
"a03:b18",4.57253495476762,-1.78788044027628
"a03:b19",4.73859703324106,-1.82323785570743
"a03:b20",4.33511085530068,-1.72118661628205
"a03:posttest",4.94903255798908,-1.91788127609209
"a03:pretest",4.6102776396473,-1.8117104207835
"a04:b01",3.20463394350343,-1.27810181520763
"a04:b02",3.667378832423,-1.53919376857714
"a04:b03",3.4763130384241,-1.49712227118932
"a04:b04",3.72397625804589,-1.63132736723791
"a04:b05",3.76906318080609,-1.62103842867146
"a04:b06",3.55571502417841,-1.56349653169986
"a04:b07",3.68871151653865,-1.59967799768938
"a04:b08",3.88937314306789,-1.71671956972808
"a04:b09",3.74362741624013,-1.64715110569888
"a04:b10",3.91352696058259,-1.71788003040387
"a04:b11",3.98562907398946,-1.77660807678098
"a04:b12",3.70539904379342,-1.63414582232003
