"","X.Intercept.","lgHz"
"a01:b01",0.988687626764461,-0.480392927083279
"a01:b02",0.952362218480897,-0.456513648062889
"a01:b03",0.931663742941515,-0.489309706621522
"a01:b04",1.35620120449034,-0.697018078740183
"a01:b05",1.30465949346929,-0.682671622880343
"a01:b06",1.55639416061145,-0.802379616361709
"a01:b07",1.52402464923776,-0.745830618547475
"a01:b08",1.58335175210353,-0.816020081372525
"a01:b09",1.82606643112562,-0.88958595704311
"a01:b10",1.74933878945924,-0.898393913604994
"a01:b11",1.60129768577118,-0.800892527551442
"a01:b12",2.03944683441845,-0.963283483521225
"a01:b13",1.84744947774899,-0.928097869807407
"a01:b14",1.98535950106588,-0.947478398056462
"a01:b15",2.06655803100647,-0.983930242697837
"a01:b16",1.82505532012761,-0.877931064446831
"a01:b17",1.8788983292695,-0.934543448515712
"a01:b18",1.78383832204304,-0.879887111499823
"a01:b19",1.6801350366512,-0.806293851766757
"a01:b20",1.81846420778587,-0.866661525118186
"a01:posttest",0.948053558200431,-0.550936455141664
"a01:pretest",1.33722514231069,-0.821092472412526
"a02:b01",1.57165462548871,-0.690101551640314
"a02:b02",1.36050628864036,-0.575136190230722
"a02:b03",1.20290896109706,-0.436570351897308
"a02:b04",1.53677700505034,-0.647087209937981
"a02:b05",1.4647380140571,-0.62829273037985
"a02:b06",1.44044257883489,-0.58188033507951
"a02:b07",1.57760849853749,-0.638360075011653
"a02:b08",1.66667799799612,-0.638501538748211
"a02:b09",1.48342832398206,-0.575517221703798
"a02:b10",1.38274325097715,-0.531714601416041
"a02:b11",1.14613507083142,-0.477211080590705
"a02:b12",1.03095888181138,-0.400017279997702
"a02:b13",1.36032662917195,-0.558703593847496
"a02:b14",1.0284398341025,-0.407444052024981
"a02:b15",1.222054463844,-0.503274097845509
"a02:b16",1.15723743881085,-0.460602395836349
"a02:b17",1.25375339570853,-0.504293300396937
"a02:b18",1.11346175002063,-0.465488900469014
"a02:b19",1.04688995165569,-0.413331073602568
"a02:b20",1.73252236532661,-0.744233824319386
"a02:posttest",1.14253156734208,-0.468197029853402
"a02:pretest",1.04836146974015,-0.576862471009917
"a03:b01",-1.93549590192238,-1.79780140385664
"a03:b02",2.39521825472758,-1.18082018785678
"a03:b03",2.55985381853123,-1.23987049991386
"a03:b04",2.68359854649705,-1.27491998256433
"a03:b05",2.58670211739068,-1.26005883274978
"a03:b06",2.52160902671182,-1.23799756210865
"a03:b07",2.6031273983067,-1.29954675393617
"a03:b08",2.91175863739599,-1.40757652718022
