"","X.Intercept.","lgHz"
"a01:b01",3.10634134967689,-1.29524752145501
"a01:b02",3.47154200589688,-1.48010734587419
"a01:b03",3.31418474275086,-1.47489316458946
"a01:b04",3.39361838646324,-1.49993514965418
"a01:b05",3.37921922918,-1.47178585145939
"a01:b06",3.63428738721947,-1.60760095751157
"a01:b07",3.26965628251711,-1.38499587434636
"a01:b08",3.47038304191193,-1.50351811101503
"a01:b09",3.61194078237636,-1.55571962962773
"a01:b10",3.75948937714783,-1.68396904999878
"a01:b11",3.40357566323225,-1.48309506549327
"a01:b12",3.3878772376255,-1.42704781252645
"a01:b13",3.57204744396507,-1.50943706688895
"a01:b14",3.59546136388811,-1.53907914943354
"a01:b15",3.45278206159118,-1.4819125396774
"a01:b16",3.85948527539768,-1.63096276326536
"a01:b17",3.6878930055585,-1.58530415280857
"a01:b18",3.61138449169397,-1.56678221097954
"a01:b19",3.74407387819341,-1.59765558115328
"a01:b20",3.42990548776443,-1.4886476738976
"a01:posttest",3.1314529690557,-1.37980579846834
"a01:pretest",3.35447269807551,-1.49897717192444
"a02:b01",2.64779415867346,-1.02977255780339
"a02:b02",2.6444290707711,-1.07606640517983
"a02:b03",2.68089660812738,-1.03638749354874
"a02:b04",2.57723432123174,-0.980861059419324
"a02:b05",2.59242245865432,-1.03486687909965
"a02:b06",2.65996833461511,-1.05191754765122
"a02:b07",2.54863830641612,-0.968331816629668
"a02:b08",2.77001440483024,-1.10896233672513
"a02:b09",2.64688109612143,-1.03649847604979
"a02:b10",2.67116353060241,-1.07888649310046
"a02:b11",2.67930725919463,-1.06093238849043
"a02:b12",2.74941352727098,-1.06343229909277
"a02:b13",2.68222379863006,-1.04885288884957
"a02:b14",2.6275073091132,-1.05802786791354
"a02:b15",2.76071650625118,-1.10093859824347
"a02:b16",2.72350552188619,-1.06857715967579
"a02:b17",2.60324856914833,-1.01152143503071
"a02:b18",2.73653868597736,-1.09374169850344
"a02:b19",2.8543567014802,-1.16970114341147
"a02:b20",2.77103648414477,-1.0986412941017
"a02:posttest",2.75558306379716,-0.890761791233466
"a02:pretest",2.71355250505406,-0.960430267409065
"a03:b01",-1.78476956203481,-1.73954662327651
"a03:b02",3.90031557683912,-1.56421760550675
"a03:b03",3.77329735288418,-1.47629924166404
"a03:b04",3.98894536735639,-1.59842123374247
"a03:b05",3.82070183169654,-1.54787153751606
"a03:b06",3.83374082211831,-1.54051760350755
"a03:b07",4.11660232693232,-1.66107600667064
"a03:b08",3.95976173329398,-1.59253157325075
"a03:b09",3.82639201192121,-1.54096288197658
"a03:b10",4.10374173571922,-1.63962872993356
"a03:b11",4.02985304995733,-1.60269689026604
"a03:b12",4.01867912785135,-1.60739341928714
"a03:b13",3.87425138398218,-1.53313051019969
"a03:b14",3.62475290200922,-1.50115452130273
"a03:b15",4.20045440184445,-1.65373396431231
"a03:b16",3.87861000757197,-1.59806653366102
"a03:b17",3.84215979991502,-1.53372323368594
"a03:b18",4.16554036782423,-1.64723162963185
"a03:b19",4.3452979669745,-1.69858111067699
"a03:b20",4.05239365628833,-1.61486765024426
"a03:posttest",4.86666537751366,-1.79065909054608
"a03:pretest",4.45209655506378,-1.65882175556908
"a04:b01",2.28839518642291,-0.810060931413504
"a04:b02",2.67844849507505,-1.13560375223075
"a04:b03",2.64852935715691,-1.18213602521102
"a04:b04",2.67970954708738,-1.16460881005262
"a04:b05",2.75247881888313,-1.23997186235126
"a04:b06",2.80453242711693,-1.28896871794137
"a04:b07",2.78674012704215,-1.2410077128013
"a04:b08",2.97176681499093,-1.38830491532207
"a04:b09",2.7808686060998,-1.31527424813059
"a04:b10",2.74689604941442,-1.26613991983399
