"","X.Intercept.","lgHz"
"a01:b01",3.26148209508337,-1.38500516355982
"a01:b02",3.54183047672039,-1.49922774324243
"a01:b03",3.31671361581661,-1.45844400049914
"a01:b04",3.60958750135601,-1.5840565940791
"a01:b05",3.5193219038445,-1.51046924718447
"a01:b06",3.7993126542032,-1.65260955513526
"a01:b07",3.31446479876844,-1.41197971526839
"a01:b08",3.65906192622496,-1.57411339236455
"a01:b09",3.82161852580073,-1.6214826608771
"a01:b10",3.93803962481097,-1.73707336913401
"a01:b11",3.57098795424199,-1.54738598099404
"a01:b12",3.7246516935184,-1.54759898102738
"a01:b13",3.72451839053626,-1.56603776428485
"a01:b14",3.86312671444264,-1.63735239416166
"a01:b15",3.75414967804226,-1.58639489240746
"a01:b16",4.06720729373587,-1.69657969966933
"a01:b17",3.82955019227472,-1.6376605450673
"a01:b18",3.78829519450943,-1.63326120492203
"a01:b19",3.93383210904508,-1.65804811697724
"a01:b20",3.7222468503052,-1.61438710329104
"a01:posttest",3.46704240651802,-1.51601299715515
"a01:pretest",3.64390011681595,-1.63830193266119
"a02:b01",2.86072706969189,-1.18024092404705
"a02:b02",2.92485794012854,-1.24742476540474
"a02:b03",3.0372209796786,-1.23720806154644
"a02:b04",3.03289396217185,-1.24588581041751
"a02:b05",2.90194027667176,-1.21335959027089
"a02:b06",3.06276067250113,-1.26480950765604
"a02:b07",2.95947314243501,-1.2111460398195
"a02:b08",3.14201113022524,-1.27216156597633
"a02:b09",3.05923111875356,-1.24706643538111
"a02:b10",3.1528532798376,-1.29058235631567
"a02:b11",2.95503517603981,-1.22233891053085
"a02:b12",2.88650680772407,-1.17967971908034
"a02:b13",3.04399175872703,-1.26050817512333
"a02:b14",2.85567861198289,-1.19882699052171
"a02:b15",3.01549074629032,-1.24297301982308
"a02:b16",3.02953997745064,-1.24124278887173
"a02:b17",2.86453631118478,-1.16531822281291
"a02:b18",2.91285163159057,-1.21180201726258
"a02:b19",2.99539339442825,-1.23174575203089
"a02:b20",3.31825022756114,-1.35461538764863
"a02:posttest",2.75268217964972,-0.859100314921017
"a02:pretest",2.59806963199326,-0.905208221126418
"a03:b01",-1.38313224169519,-1.85394083377879
"a03:b02",4.31037004718041,-1.72714930486557
"a03:b03",4.20715066868255,-1.6652645272275
"a03:b04",4.47204341883726,-1.78656503061029
"a03:b05",4.32278411640698,-1.72853225290154
"a03:b06",4.2722486221155,-1.72319145365233
"a03:b07",4.43551867703427,-1.79587352051193
"a03:b08",4.42219483182468,-1.76947123892476
"a03:b09",4.09765108500956,-1.63227928939353
"a03:b10",4.54188972139514,-1.79986848831932
"a03:b11",4.47326294157918,-1.77933479102544
"a03:b12",4.40771438118677,-1.76408510262591
"a03:b13",4.29021069842537,-1.69847515726581
"a03:b14",3.98233550057138,-1.63567481111364
"a03:b15",4.73060530411952,-1.87109434101588
"a03:b16",4.14931140081544,-1.7302849916503
"a03:b17",4.18201998634382,-1.68828129727551
"a03:b18",4.52996893625068,-1.81227824677249
"a03:b19",4.70256188580199,-1.85364407586135
"a03:b20",4.3896066808076,-1.77961019970977
"a03:posttest",5.11305061848448,-1.95772658012833
"a03:pretest",4.80620650281458,-1.84798386129371
"a04:b01",3.0488834890777,-1.24626475015056
"a04:b02",3.52768269541903,-1.51752668111163
"a04:b03",3.41754260226976,-1.51811718316455
"a04:b04",3.57224404847677,-1.59433553793712
"a04:b05",3.5834058219071,-1.60100870008621
"a04:b06",3.49594418988679,-1.57544015975327
"a04:b07",3.55477540387889,-1.57386139731405
"a04:b08",3.67798141303207,-1.66337212211753
"a04:b09",3.61160186212877,-1.63856475164099
"a04:b10",3.70193675648412,-1.66841392156638
"a04:b11",3.69946510026973,-1.68177564459902
"a04:b12",3.45100462837919,-1.5695432014638
"a04:b13",3.60190194317806,-1.6400993185136
"a04:b14",3.6007400180324,-1.66809450395403
"a04:b15",3.48216455358096,-1.57835504353388
"a04:b16",3.5790429919405,-1.58867552318956
"a04:b17",3.65837343663776,-1.64042057848622
"a04:b18",3.50525751420889,-1.56890109476419
"a04:b19",3.55770530175686,-1.6003584293036
"a04:b20",3.41720471501988,-1.55852265130648
"a04:posttest",2.90648782701121,-1.15474611441858
"a04:pretest",3.20423246594839,-1.3002254002747
"a05:b01",2.47929392768419,-0.975063302900472
"a05:b02",2.96171740532967,-1.2197350467282
"a05:b03",2.92925525535507,-1.23079151811985
"a05:b04",3.17295791458272,-1.33815328463605
"a05:b05",2.91845475154994,-1.24037621433047
"a05:b06",2.87185566887221,-1.24658960938978
"a05:b07",2.91186196797024,-1.24197984617282
"a05:b08",2.89170979119836,-1.19647274915141
"a05:b09",2.73279014490385,-1.0746464186777
"a05:b10",2.46168572001019,-0.965447067850042
"a05:b11",2.48246846736986,-1.02527174864091
"a05:b12",3.0095335542631,-1.2906024432558
"a05:b13",3.01525747176404,-1.29934226727036
"a05:b14",2.92974176793774,-1.27186806185202
"a05:b15",3.12858234534507,-1.33288989439603
"a05:b16",2.88837686689227,-1.2191470444258
"a05:b17",3.18762259855721,-1.3537450913199
"a05:b18",3.1206212106485,-1.30961317533294
"a05:b19",3.12907998033117,-1.30322061706341
"a05:b20",3.06662859341724,-1.27408973521005
"a05:posttest",2.77698420795066,-1.0781376622896
"a05:pretest",2.50912720026821,-1.0606933750602
"a06:b01",3.18039698237964,-1.39897561506622
"a06:b02",3.41821348704196,-1.58530399991809
"a06:b03",3.53650712433098,-1.63894919650895
"a06:b04",3.77386768580223,-1.71061044174319
"a06:b05",3.79135888667619,-1.7437084815817
"a06:b06",3.54024421508367,-1.59313902040829
"a06:b07",3.4949206941852,-1.65007238234801
"a06:b08",3.66623365599581,-1.68152838729889
"a06:b09",3.53486427505892,-1.61782947778652
"a06:b10",3.76283541445623,-1.6765254492749
"a06:b11",3.78687911614269,-1.68087313666951
