Subject,Block,Condition,Group,Fr_Slope,Fr_Offset,Fr_R2,Cn_Slope,Cn_Offset,Cn_R2,Pr_Slope,Pr_Offset,Pr_R2,Occ_Slope,Occ_Offset,Occ_R2
1,1,practice,self,0.38707438,0.337684233,0.411012458,1.216490087,1.207943685,0.974885298,1.345287857,1.326205151,0.989436432,1.33987204,1.31155331,0.993177187
1,2,practice,self,0.359503193,0.318469511,0.343935281,1.276662947,1.264584927,0.9865367,1.49097935,1.459511762,0.993186478,1.522253174,1.466261408,0.99526645
1,3,practice,self,0.18052955,0.051156342,0.651172779,1.232657134,1.180474975,0.978837368,1.4248655,1.329611574,0.987006366,1.539757875,1.401233093,0.991510988
1,4,practice,self,0.617213948,0.511387241,0.656029015,1.450873843,1.415020689,0.992166239,1.576365777,1.509892394,0.995122163,1.567220824,1.458851732,0.991828351
1,5,practice,self,0.373541677,0.19658372,0.840204836,1.269156969,1.255113875,0.979115009,1.524526438,1.464521695,0.98891677,1.532600805,1.437764863,0.994443445
1,6,practice,self,0.709644696,0.56993583,0.723402154,1.429271248,1.400688443,0.992155421,1.658887291,1.581927135,0.994373725,1.662357082,1.539648973,0.994745791
1,7,practice,self,0.480062092,0.350434978,0.871453785,1.294717019,1.290933201,0.981876208,1.363407307,1.318624265,0.977766205,1.379367081,1.322416629,0.978517778
1,8,practice,self,0.74829924,0.622108675,0.807176481,1.412705074,1.397430816,0.991266997,1.553936292,1.484862137,0.994676999,1.566316717,1.478026543,0.988100861
1,9,practice,self,0.818000557,0.713511615,0.852177182,1.468849175,1.455785954,0.994354492,1.592365071,1.527033226,0.967252632,1.5557071,1.442364797,0.961185668
1,10,practice,self,0.828893306,0.6937629,0.832042603,1.52591322,1.453844233,0.995287072,1.75393958,1.643133754,0.991426042,1.782753677,1.621693018,0.993538013
1,11,practice,self,0.723763453,0.611507834,0.790189581,1.436717473,1.402853677,0.991936969,1.549179146,1.468967752,0.994155867,1.528675013,1.417962827,0.9937477
1,12,practice,self,0.652126506,0.506957684,0.943751237,1.440231467,1.487895292,0.985006391,1.533790282,1.548701451,0.993181068,1.436249575,1.410282617,0.991023819
1,13,practice,self,0.997827303,0.821143202,0.909648781,1.432294839,1.42636437,0.990169963,1.548640635,1.524952936,0.993829187,1.547974933,1.494029076,0.996470188
1,14,practice,self,0.657065441,0.506608942,0.863451482,1.541725797,1.551849952,0.992651762,1.600211361,1.586958437,0.99371168,1.505858458,1.465409897,0.978128489
