index,cluster,subID,time,block,frontal_intercept,frontal_slope,frontal_rsquared,central_intercept,central_slope,central_rsquared,parietal_intercept,parietal_slope,parietal_rsquared,occipital_intercept,occipital_slope,occipital_rsquared
1,a01_rest_pretest,a01,rest,est,1.242492685,-0.784088548,0.786846626,3.285260637,-1.525706626,0.839908521,3.666374201,-1.648412182,0.793857221,3.396809689,-1.517173265,0.726298004
2,a01_prac_b01,a01,prac,b01,0.848608493,-0.422344277,0.432429373,2.906993037,-1.231983309,0.949600268,3.197364932,-1.357650773,0.947275163,3.079225967,-1.282909763,0.922361321
3,a01_prac_b02,a01,prac,b02,0.808501568,-0.396826198,0.364630209,3.051518246,-1.289991241,0.948061866,3.530648805,-1.492748791,0.931953297,3.516691072,-1.497656472,0.919239497
4,a01_prac_b03,a01,prac,b03,0.789417559,-0.43090113,0.423476273,2.905796317,-1.260570759,0.911575214,3.270540133,-1.439898809,0.901349785,3.347588241,-1.489309072,0.903655111
5,a01_prac_b04,a01,prac,b04,1.252352577,-0.65435903,0.674722608,3.319647366,-1.440012898,0.966718013,3.619642098,-1.587899188,0.957408828,3.438788965,-1.518866295,0.928344632
6,a01_prac_b05,a01,prac,b05,1.197032154,-0.638618838,0.733528421,3.029259588,-1.287177677,0.938587576,3.506901678,-1.504196351,0.913625608,3.416106209,-1.486807825,0.895583109
7,a01_prac_b06,a01,prac,b06,1.47125446,-0.767500947,0.763112822,3.385249378,-1.447842287,0.941178478,3.843900747,-1.669773049,0.925042776,3.723392398,-1.64437437,0.918151016
8,a01_prac_b07,a01,prac,b07,1.432650311,-0.707809785,0.765154104,3.051225708,-1.276622159,0.938479878,3.261146737,-1.389067326,0.904021883,3.276701519,-1.386950178,0.906046152
9,a01_prac_b08,a01,prac,b08,1.500686901,-0.782163005,0.821392301,3.349558686,-1.430400754,0.96597407,3.674017393,-1.578864557,0.933847114,3.521554283,-1.524113805,0.901818179
10,a01_prac_b09,a01,prac,b09,1.761683829,-0.862578557,0.857269862,3.555811727,-1.492251195,0.926485737,3.86448528,-1.636599093,0.889311652,3.686055209,-1.585353425,0.877534777
11,a01_prac_b10,a01,prac,b10,1.681781236,-0.870750112,0.854993067,3.677294245,-1.607543856,0.96228626,4.012944661,-1.767143219,0.933191475,3.876753494,-1.7326894,0.911675179
12,a01_prac_b11,a01,prac,b11,1.518313984,-0.766561189,0.807707619,3.338317547,-1.425530642,0.935306268,3.570664189,-1.546423224,0.906133263,3.445016559,-1.499976809,0.899986936
13,a01_prac_b12,a01,prac,b12,1.991869808,-0.942728156,0.899743605,3.589316778,-1.473741007,0.955180134,3.744137391,-1.552325355,0.941137206,3.413681145,-1.436348131,0.912880514
14,a01_prac_b13,a01,prac,b13,1.787279336,-0.903221286,0.87621598,3.457161044,-1.460541901,0.934012778,3.746707307,-1.572459363,0.90633939,3.631471538,-1.53239089,0.892689898
15,a01_prac_b14,a01,prac,b14,1.933756207,-0.925424732,0.842465339,3.754393239,-1.580843328,0.946035194,3.913677332,-1.655463554,0.92345301,3.664153006,-1.566277953,0.906088804
16,a01_prac_b15,a01,prac,b15,2.022032751,-0.964732713,0.876265037,3.676204355,-1.522726416,0.93964679,3.783155834,-1.595786774,0.902461908,3.497163041,-1.499405814,0.889439021
17,a01_prac_b16,a01,prac,b16,1.759674745,-0.850353988,0.811230369,3.718771879,-1.547118286,0.952792723,4.152763227,-1.72768154,0.930177842,3.969541641,-1.674301569,0.91869338
18,a01_prac_b17,a01,prac,b17,1.820846335,-0.910407211,0.855188322,3.523926022,-1.495759829,0.956708515,3.875824644,-1.654561297,0.929516485,3.774728067,-1.619993614,0.914126016
19,a01_prac_b18,a01,prac,b18,1.716526763,-0.851835824,0.852071233,3.592027099,-1.513678862,0.938924664,3.828610662,-1.648234196,0.911415888,3.688344082,-1.597855505,0.908075931
20,a01_prac_b19,a01,prac,b19,1.601587451,-0.77330552,0.796710583,3.571844176,-1.502992507,0.94151,3.996536563,-1.680676227,0.929190948,3.837835108,-1.634836872,0.928582072
21,a01_prac_b20,a01,prac,b20,1.751834033,-0.838456322,0.798019207,3.620736084,-1.527332941,0.961757786,3.751276644,-1.62518293,0.94549908,3.474530925,-1.506666345,0.91618541
22,a01_rest_posttest,a01,rest,est,0.811644232,-0.49569216,0.518182965,3.255316104,-1.468169049,0.816335244,3.448711194,-1.508322386,0.737874502,3.128023279,-1.378928339,0.65384207
23,a02_rest_pretest,a02,rest,est,0.919144088,-0.524235497,0.573006966,2.346420978,-0.909609696,0.673399334,2.377777638,-0.80913739,0.46158968,2.573286533,-0.898145593,0.447168871
24,a02_prac_b01,a02,prac,b01,1.478168552,-0.6500791,0.659264476,2.909456661,-1.222122109,0.950263958,2.714818779,-1.11922027,0.941575924,2.521251628,-0.975541123,0.880036149
25,a02_prac_b02,a02,prac,b02,1.246975705,-0.526724573,0.446891476,2.880118735,-1.233996579,0.954165748,2.79711593,-1.194964915,0.946148246,2.529724302,-1.027842722,0.876631646
26,a02_prac_b03,a02,prac,b03,1.0701321,-0.379381499,0.342803379,3.081823584,-1.249803171,0.95195584,2.922433873,-1.187951867,0.936834339,2.558262427,-0.983537526,0.856174019
27,a02_prac_b04,a02,prac,b04,1.438028518,-0.604533451,0.566794061,2.962194872,-1.230620233,0.960976514,2.918830202,-1.197270098,0.959735047,2.433292289,-0.919127914,0.850010368
28,a02_prac_b05,a02,prac,b05,1.360810214,-0.583850924,0.606121489,2.871403919,-1.198097658,0.933002517,2.766222713,-1.156913213,0.916206012,2.463551922,-0.980439976,0.826177539
29,a02_prac_b06,a02,prac,b06,1.331512907,-0.534890886,0.494965173,3.067009476,-1.275037045,0.953765007,2.955332971,-1.219040595,0.963900776,2.539998363,-1.00077463,0.917642646
30,a02_prac_b07,a02,prac,b07,1.480221446,-0.595952346,0.497582728,3.085411324,-1.279936577,0.932437823,2.830834048,-1.156618263,0.945674361,2.399544675,-0.904513166,0.849699815
31,a02_prac_b08,a02,prac,b08,1.573818625,-0.597326882,0.524652128,3.093840928,-1.252178063,0.937258829,3.045868433,-1.229994528,0.943637232,2.672169224,-1.067000779,0.911129096
32,a02_prac_b09,a02,prac,b09,1.376161342,-0.528816189,0.449057839,3.108367485,-1.268283415,0.957743392,2.948731395,-1.199531303,0.968831089,2.522030446,-0.983133287,0.881243869
33,a02_prac_b10,a02,prac,b10,1.266813117,-0.481538622,0.419488264,3.243006837,-1.322526623,0.971714183,3.060823796,-1.250513829,0.954988495,2.558958171,-1.031448334,0.897533871
34,a02_prac_b11,a02,prac,b11,1.013780712,-0.421178475,0.249932411,2.838648838,-1.195518764,0.970083095,2.827476218,-1.168679428,0.916052023,2.562962293,-1.011270752,0.792826267
35,a02_prac_b12,a02,prac,b12,0.886494308,-0.338717979,0.244544081,2.724616827,-1.123588542,0.959829068,2.743833826,-1.119558474,0.923961827,2.638347558,-1.015189737,0.791035439
36,a02_prac_b13,a02,prac,b13,1.245452147,-0.509505927,0.463009115,3.410243492,-1.390858135,0.960400548,2.933513713,-1.213650172,0.962471108,2.562924555,-0.99765539,0.86422435
37,a02_prac_b14,a02,prac,b14,0.884450798,-0.346464208,0.207237276,3.333886752,-1.338915264,0.973744153,2.711862641,-1.139333794,0.916355881,2.506986352,-1.007179289,0.81098003
38,a02_prac_b15,a02,prac,b15,1.09566658,-0.44952956,0.325218372,3.712076,-1.47089691,0.972789491,2.898757281,-1.193446635,0.901020189,2.660167323,-1.057781879,0.81658156
39,a02_prac_b16,a02,prac,b16,1.024096923,-0.403930677,0.327756026,4.760077443,-1.794032357,0.966851319,2.914359516,-1.192075221,0.954745249,2.612069626,-1.020604606,0.835993694
40,a02_prac_b17,a02,prac,b17,1.129055566,-0.4510338,0.321428755,4.556393093,-1.690192458,0.96315501,2.716916678,-1.103062168,0.923161853,2.469011007,-0.954207068,0.81275338
41,a02_prac_b18,a02,prac,b18,0.978498549,-0.408447479,0.313120904,5.774732604,-2.079964469,0.961742775,2.778308669,-1.155614603,0.915536652,2.632518666,-1.049266319,0.833626507
42,a02_prac_b19,a02,prac,b19,0.904314604,-0.352885973,0.230871496,4.949118055,-1.772358769,0.941586916,2.87441678,-1.180442659,0.934757992,2.777901912,-1.137004211,0.846544525
43,a02_prac_b20,a02,prac,b20,1.65159001,-0.709007488,0.714872705,5.934397308,-2.052372347,0.949380185,3.25695611,-1.326553401,0.957384696,2.670570063,-1.055344564,0.860628104
44,a02_rest_posttest,a02,rest,est,1.009262302,-0.411684982,0.289505746,1.760454477,-0.429984912,0.196357718,2.545487789,-0.764482615,0.254153451,2.599942393,-0.820011646,0.312545068
45,a03_rest_pretest,a03,rest,est,3.151402128,-1.5260173,0.838176885,4.741395838,-1.858202793,0.894539348,5.009216415,-1.920311582,0.814810925,4.608528974,-1.715036684,0.688060833
46,a03_prac_b01,a03,prac,b01,-2.116832454,-1.762311595,0.27267026,-1.758907864,-1.724397202,0.330154762,-1.975872368,-1.698459436,0.343914689,-2.019006487,-1.709197302,0.33269758
47,a03_prac_b02,a03,prac,b02,2.383350402,-1.175536261,0.963930578,4.372319116,-1.678560434,0.964932214,4.431733527,-1.770041404,0.930013597,3.99567956,-1.599454929,0.890122151
