"","subID","time","block","difficulty","diffQ","diff","method","region","slopes","ints"
"1","a01","prac","b01","N1","Q1",1,"LMER","frontal",-0.480392927,0.988687627
"2","a01","prac","b01","N1","Q1",1,"LMER","central",-1.27352936,3.008380382
"3","a01","prac","b01","N1","Q1",1,"LMER","parietal",-1.385005164,3.261482095
"4","a01","prac","b01","N1","Q1",1,"LMER","occipital",-1.295247521,3.10634135
"5","a01","prac","b01","N1","Q1",1,"FOOOF","frontal",-0.38707438,0.337684233
"6","a01","prac","b01","N1","Q1",1,"FOOOF","central",-1.216490087,1.207943685
"7","a01","prac","b01","N1","Q1",1,"FOOOF","parietal",-1.345287857,1.326205151
"8","a01","prac","b01","N1","Q1",1,"FOOOF","occipital",-1.33987204,1.31155331
"9","a01","prac","b02","N1","Q1",1,"LMER","frontal",-0.456513648,0.952362218
"10","a01","prac","b02","N1","Q1",1,"LMER","central",-1.324031825,3.133818106
"11","a01","prac","b02","N1","Q1",1,"LMER","parietal",-1.499227743,3.541830477
"12","a01","prac","b02","N1","Q1",1,"LMER","occipital",-1.480107346,3.471542006
"13","a01","prac","b02","N1","Q1",1,"FOOOF","frontal",-0.359503193,0.318469511
"14","a01","prac","b02","N1","Q1",1,"FOOOF","central",-1.276662947,1.264584927
"15","a01","prac","b02","N1","Q1",1,"FOOOF","parietal",-1.49097935,1.459511762
"16","a01","prac","b02","N1","Q1",1,"FOOOF","occipital",-1.522253174,1.466261408
"17","a01","prac","b03","N2","Q1",2,"LMER","frontal",-0.489309707,0.931663743
"18","a01","prac","b03","N2","Q1",2,"LMER","central",-1.300270497,3.004762642
"19","a01","prac","b03","N2","Q1",2,"LMER","parietal",-1.458444,3.316713616
"20","a01","prac","b03","N2","Q1",2,"LMER","occipital",-1.474893165,3.314184743
"21","a01","prac","b03","N2","Q1",2,"FOOOF","frontal",-0.18052955,0.051156342
"22","a01","prac","b03","N2","Q1",2,"FOOOF","central",-1.232657134,1.180474975
"23","a01","prac","b03","N2","Q1",2,"FOOOF","parietal",-1.4248655,1.329611574
"24","a01","prac","b03","N2","Q1",2,"FOOOF","occipital",-1.539757875,1.401233093
"25","a01","prac","b04","P1","Q2",4,"LMER","frontal",-0.697018079,1.356201204
"26","a01","prac","b04","P1","Q2",4,"LMER","central",-1.457345042,3.362773087
"27","a01","prac","b04","P1","Q2",4,"LMER","parietal",-1.584056594,3.609587501
"28","a01","prac","b04","P1","Q2",4,"LMER","occipital",-1.49993515,3.393618386
"29","a01","prac","b04","P1","Q2",4,"FOOOF","frontal",-0.617213948,0.511387241
"30","a01","prac","b04","P1","Q2",4,"FOOOF","central",-1.450873843,1.415020689
"31","a01","prac","b04","P1","Q2",4,"FOOOF","parietal",-1.576365777,1.509892394
"32","a01","prac","b04","P1","Q2",4,"FOOOF","occipital",-1.567220824,1.458851732
"33","a01","prac","b05","P1","Q2",4,"LMER","frontal",-0.682671623,1.304659493
"34","a01","prac","b05","P1","Q2",4,"LMER","central",-1.321972359,3.113956119
"35","a01","prac","b05","P1","Q2",4,"LMER","parietal",-1.510469247,3.519321904
"36","a01","prac","b05","P1","Q2",4,"LMER","occipital",-1.471785851,3.379219229
"37","a01","prac","b05","P1","Q2",4,"FOOOF","frontal",-0.373541677,0.19658372
"38","a01","prac","b05","P1","Q2",4,"FOOOF","central",-1.269156969,1.255113875
"39","a01","prac","b05","P1","Q2",4,"FOOOF","parietal",-1.524526438,1.464521695
"40","a01","prac","b05","P1","Q2",4,"FOOOF","occipital",-1.532600805,1.437764863
"41","a01","prac","b06","P2","Q2",5,"LMER","frontal",-0.802379616,1.556394161
"42","a01","prac","b06","P2","Q2",5,"LMER","central",-1.462982302,3.421352563
"43","a01","prac","b06","P2","Q2",5,"LMER","parietal",-1.652609555,3.799312654
"44","a01","prac","b06","P2","Q2",5,"LMER","occipital",-1.607600958,3.634287387
"45","a01","prac","b06","P2","Q2",5,"FOOOF","frontal",-0.709644696,0.56993583
"46","a01","prac","b06","P2","Q2",5,"FOOOF","central",-1.429271248,1.400688443
"47","a01","prac","b06","P2","Q2",5,"FOOOF","parietal",-1.658887291,1.581927135
"48","a01","prac","b06","P2","Q2",5,"FOOOF","occipital",-1.662357082,1.539648973
"49","a01","prac","b07","P3","Q2",6,"LMER","frontal",-0.745830619,1.524024649
"50","a01","prac","b07","P3","Q2",6,"LMER","central",-1.31154798,3.134739971
