subID,time,method,channel,ints,slope
a01,A,lmer,frontal,1.337225142,-0.821092472
a01,A,lmer,central,3.324099975,-1.538292109
a01,A,lmer,parietal,3.643900117,-1.638301933
a01,A,lmer,occipital,3.354472698,-1.498977172
a01,A,fooof,frontal,0.47072719,0.76405637
a01,A,fooof,central,1.27576043,1.49954333
a01,A,fooof,parietal,1.44249033,1.67124622
a01,A,fooof,occipital,1.38967979,1.61432038
a01,B,lmer,frontal,1.614962641,-0.797355785
a01,B,lmer,central,3.438701789,-1.455866557
a01,B,lmer,parietal,3.68799996,-1.577958406
a01,B,lmer,occipital,3.507757425,-1.513384834
a01,B,fooof,frontal,0.689298606,0.886801527
a01,B,fooof,central,1.257421761,1.375710246
a01,B,fooof,parietal,1.284864246,1.42284348
a01,B,fooof,occipital,1.258665446,1.453582501
a01,C,lmer,frontal,0.948053558,-0.550936455
a01,C,lmer,central,3.302148929,-1.485298166
a01,C,lmer,parietal,3.467042407,-1.516012997
a01,C,lmer,occipital,3.131452969,-1.379805798
a01,C,fooof,frontal,0.299,0.4796
a01,C,fooof,central,1.3002,1.4899
a01,C,fooof,parietal,1.37779785,1.5669071
a01,C,fooof,occipital,1.25878325,1.46546873
a02,A,lmer,frontal,1.04836147,-0.576862471
a02,A,lmer,central,2.530483154,-0.986660676
a02,A,lmer,parietal,2.598069632,-0.905208221
a02,A,lmer,occipital,2.713552505,-0.960430267
a02,A,fooof,frontal,0.31165215,0.48939774
a02,A,fooof,central,0.96969591,0.96216473
a02,A,fooof,parietal,0.87819482,0.78384416
a02,A,fooof,occipital,1.00900251,0.95809361
a02,B,lmer,frontal,1.338963266,-0.54388807
a02,B,lmer,central,3.631085461,-1.4330245
a02,B,lmer,parietal,3.000562211,-1.235946802
a02,B,lmer,occipital,2.681364833,-1.058845892
a02,B,fooof,frontal,0.586920328,0.641424877
a02,B,fooof,central,1.365949743,1.394097467
a02,B,fooof,parietal,1.225208342,1.412562701
a02,B,fooof,occipital,1.154179886,1.299552498
a02,C,lmer,frontal,1.142531567,-0.46819703
a02,C,lmer,central,2.043593273,-0.553514815
a02,C,lmer,parietal,2.75268218,-0.859100315
a02,C,lmer,occipital,2.755583064,-0.890761791
a02,C,fooof,frontal,0.272,0.3272
a02,C,fooof,central,0.69,0.4963
a02,C,fooof,parietal,0.82320431,0.65962241
a02,C,fooof,occipital,0.95171808,0.81934107
a03,A,lmer,frontal,3.101061122,-1.506073586
a03,A,lmer,central,4.61027764,-1.811710421
a03,A,lmer,parietal,4.806206503,-1.847983861
a03,A,lmer,occipital,4.452096555,-1.658821756
a03,A,fooof,frontal,1.0982732,1.37194443
a03,A,fooof,central,1.74446836,1.66843705
a03,A,fooof,parietal,1.87805529,1.77935613
a03,A,fooof,occipital,1.73114208,1.65311052
a03,B,lmer,frontal,2.463766029,-1.342575627
a03,B,lmer,central,4.062439945,-1.691058419
a03,B,lmer,parietal,4.076815833,-1.754744948
a03,B,lmer,occipital,3.678536093,-1.594582625
a03,B,fooof,frontal,1.018130087,1.333035084
a03,B,fooof,central,1.615127633,1.606543617
a03,B,fooof,parietal,1.584442104,1.645135179
a03,B,fooof,occipital,1.497326577,1.59935298
a03,C,lmer,frontal,3.505758969,-1.443948857
a03,C,lmer,central,4.949032558,-1.917881276
a03,C,lmer,parietal,5.113050618,-1.95772658
a03,C,lmer,occipital,4.866665378,-1.790659091
a03,C,fooof,frontal,0.272,0.3272
a03,C,fooof,central,1.8941,1.7882
a03,C,fooof,parietal,1.92974388,1.87160706
a03,C,fooof,occipital,1.8900839,1.80977937
a04,A,lmer,frontal,2.50902855,-1.290246505
a04,A,lmer,central,3.314659039,-1.36639291
a04,A,lmer,parietal,3.204232466,-1.3002254
a04,A,lmer,occipital,2.430267099,-0.938748657
a04,A,fooof,frontal,0.95682738,1.24464202
a04,A,fooof,central,1.16192433,1.26387369
a04,A,fooof,parietal,1.11617488,1.20634802
a04,A,fooof,occipital,0.86962218,0.85810249
a04,B,lmer,frontal,2.127261249,-1.276319151
a04,B,lmer,central,3.696773452,-1.613341942
a04,B,lmer,parietal,3.537242924,-1.58458256
a04,B,lmer,occipital,2.742381063,-1.234999781
a04,B,fooof,frontal,0.612209845,1.102236679
a04,B,fooof,central,1.208314496,1.434446062
a04,B,fooof,parietal,1.21208236,1.482239466
a04,B,fooof,occipital,1.025706854,1.226634732
a04,C,lmer,frontal,3.107545099,-1.184575963
a04,C,lmer,central,3.160018015,-1.194744519
a04,C,lmer,parietal,2.906487827,-1.154746114
a04,C,lmer,occipital,1.922365895,-0.901877505
a04,C,fooof,frontal,1.31,1.2309
a04,C,fooof,central,0.9092,0.951
a04,C,fooof,parietal,0.73509268,0.88223817
a04,C,fooof,occipital,0.56382261,0.74869804
a05,A,lmer,frontal,0.968296279,-0.671317112
a05,A,lmer,central,2.469273647,-1.089591196
a05,A,lmer,parietal,2.5091272,-1.060693375
a05,A,lmer,occipital,2.393764098,-0.978935876
a05,A,fooof,frontal,0.49090108,0.79774878
a05,A,fooof,central,1.03559292,1.11518062
a05,A,fooof,parietal,1.03555337,1.09136352
a05,A,fooof,occipital,0.96563073,1.0195509
a05,B,lmer,frontal,1.63130212,-0.848350917
a05,B,lmer,central,3.020650451,-1.282622332
a05,B,lmer,parietal,2.91447477,-1.220452257
a05,B,lmer,occipital,2.446704891,-1.006896424
a05,B,fooof,frontal,0.642355908,0.886935909
a05,B,fooof,central,1.247507318,1.40505349
a05,B,fooof,parietal,1.18803375,1.342030217
a05,B,fooof,occipital,0.996235298,1.12832196
a05,C,lmer,frontal,1.440563079,-0.717310513
a05,C,lmer,central,2.642656737,-1.081457115
a05,C,lmer,parietal,2.776984208,-1.078137662
a05,C,lmer,occipital,2.769101656,-1.044298066
a05,C,fooof,frontal,0.5717,0.6818
a05,C,fooof,central,1.0116,1.0089
a05,C,fooof,parietal,1.03707192,0.99562523
a05,C,fooof,occipital,1.03840931,1.01849714
a06,A,lmer,frontal,2.350401868,-1.079767641
a06,A,lmer,central,3.05075461,-1.377517716
a06,A,lmer,parietal,3.301238633,-1.530413178
a06,A,lmer,occipital,3.354276641,-1.46269
a06,A,fooof,frontal,0.95589571,1.03437677
a06,A,fooof,central,1.18521775,1.28506375
a06,A,fooof,parietal,1.34505216,1.49568782
