subID,block,method,channel,ints,slope
a01,A,lmer,frontal,1.337225142,-0.821092472
a01,A,lmer,central,3.324099975,-1.538292109
a01,A,lmer,parietal,3.643900117,-1.638301933
a01,A,lmer,occipital,3.354472698,-1.498977172
a01,A,fooof,frontal,0.433146525,0.717740185
a01,A,fooof,central,1.271024145,1.493328558
a01,A,fooof,parietal,1.437683938,1.665055681
a01,A,fooof,occipital,1.390990094,1.612715393
a01,B,lmer,frontal,1.614962641,-0.797355785
a01,B,lmer,central,3.438701789,-1.455866557
a01,B,lmer,parietal,3.68799996,-1.577958406
a01,B,lmer,occipital,3.507757425,-1.513384834
a01,B,fooof,frontal,0.565681161,0.685194082
a01,B,fooof,central,1.409895605,1.42058834
a01,B,fooof,parietal,1.517977962,1.564974238
a01,B,fooof,occipital,1.476261638,1.559197933
a01,C,lmer,frontal,0.948053558,-0.550936455
a01,C,lmer,central,3.302148929,-1.485298166
a01,C,lmer,parietal,3.467042407,-1.516012997
a01,C,lmer,occipital,3.131452969,-1.379805798
a01,C,fooof,frontal,0.258930911,0.433787235
a01,C,fooof,central,1.296457876,1.485017547
a01,C,fooof,parietal,1.385189933,1.577695005
a01,C,fooof,occipital,1.268233504,1.476237546
a02,A,lmer,frontal,1.04836147,-0.576862471
a02,A,lmer,central,2.530483154,-0.986660676
a02,A,lmer,parietal,2.598069632,-0.905208221
a02,A,lmer,occipital,2.713552505,-0.960430267
a02,A,fooof,frontal,0.286332402,0.46046144
a02,A,fooof,central,1.045780716,1.075035539
a02,A,fooof,parietal,0.921200782,0.859384896
a02,A,fooof,occipital,1.06805789,1.06080857
a02,B,lmer,frontal,1.338963266,-0.54388807
a02,B,lmer,central,3.631085461,-1.4330245
a02,B,lmer,parietal,3.000562211,-1.235946802
a02,B,lmer,occipital,2.681364833,-1.058845892
a02,B,fooof,frontal,0.467756062,0.438569241
a02,B,fooof,central,1.528676052,1.421393457
a02,B,fooof,parietal,1.243517932,1.240540268
a02,B,fooof,occipital,1.170653788,1.149300002
a02,C,lmer,frontal,1.142531567,-0.46819703
a02,C,lmer,central,2.043593273,-0.553514815
a02,C,lmer,parietal,2.75268218,-0.859100315
a02,C,lmer,occipital,2.755583064,-0.890761791
a02,C,fooof,frontal,0.262888553,0.316750963
a02,C,fooof,central,0.708878358,0.525732739
a02,C,fooof,parietal,0.889076045,0.756532046
a02,C,fooof,occipital,1.175771647,1.130113871
a03,A,lmer,frontal,3.101061122,-1.506073586
a03,A,lmer,central,4.61027764,-1.811710421
a03,A,lmer,parietal,4.806206503,-1.847983861
a03,A,lmer,occipital,4.452096555,-1.658821756
a03,A,fooof,frontal,1.093377062,1.365997843
a03,A,fooof,central,1.736964726,1.659521154
a03,A,fooof,parietal,1.886316351,1.790146293
a03,A,fooof,occipital,1.752177919,1.68177786
a03,B,lmer,frontal,2.463766029,-1.342575627
a03,B,lmer,central,4.062439945,-1.691058419
a03,B,lmer,parietal,4.076815833,-1.754744948
a03,B,lmer,occipital,3.678536093,-1.594582625
a03,B,fooof,frontal,1.139890678,1.334840409
a03,B,fooof,central,1.796291802,1.65444921
a03,B,fooof,parietal,1.828337967,1.777351744
a03,B,fooof,occipital,1.701043612,1.689907612
a03,C,lmer,frontal,3.505758969,-1.443948857
a03,C,lmer,central,4.949032558,-1.917881276
a03,C,lmer,parietal,5.113050618,-1.95772658
a03,C,lmer,occipital,4.866665378,-1.790659091
a03,C,fooof,frontal,1.22868155,1.254933292
a03,C,fooof,central,1.890359051,1.783623064
a03,C,fooof,parietal,1.902286884,1.848401824
a03,C,fooof,occipital,1.92181473,1.853999428
a04,A,lmer,frontal,2.50902855,-1.290246505
a04,A,lmer,central,3.314659039,-1.36639291
a04,A,lmer,parietal,3.204232466,-1.3002254
a04,A,lmer,occipital,2.430267099,-0.938748657
a04,A,fooof,frontal,1.150357871,1.4778978
a04,A,fooof,central,1.162245696,1.268462054
a04,A,fooof,parietal,1.147834822,1.247100016
a04,A,fooof,occipital,0.943320729,0.948986488
a04,B,lmer,frontal,2.127261249,-1.276319151
a04,B,lmer,central,3.696773452,-1.613341942
a04,B,lmer,parietal,3.537242924,-1.58458256
a04,B,lmer,occipital,2.742381063,-1.234999781
a04,B,fooof,frontal,0.700001769,1.114623107
a04,B,fooof,central,1.328129807,1.444871625
a04,B,fooof,parietal,1.378888514,1.518070466
a04,B,fooof,occipital,1.145181665,1.241140817
a04,C,lmer,frontal,3.107545099,-1.184575963
a04,C,lmer,central,3.160018015,-1.194744519
a04,C,lmer,parietal,2.906487827,-1.154746114
a04,C,lmer,occipital,1.922365895,-0.901877505
a04,C,fooof,frontal,1.224992996,1.124890727
a04,C,fooof,central,0.923268729,0.96872193
a04,C,fooof,parietal,0.811380289,0.987728286
a04,C,fooof,occipital,0.575409868,0.765714812
a05,A,lmer,frontal,0.968296279,-0.671317112
a05,A,lmer,central,2.469273647,-1.089591196
a05,A,lmer,parietal,2.5091272,-1.060693375
a05,A,lmer,occipital,2.393764098,-0.978935876
a05,A,fooof,frontal,0.47923849,0.784020584
a05,A,fooof,central,1.071607828,1.163064589
a05,A,fooof,parietal,1.090505685,1.165364523
a05,A,fooof,occipital,0.98824956,1.052299614
a05,B,lmer,frontal,1.63130212,-0.848350917
a05,B,lmer,central,3.020650451,-1.282622332
a05,B,lmer,parietal,2.91447477,-1.220452257
a05,B,lmer,occipital,2.446704891,-1.006896424
a05,B,fooof,frontal,0.711897208,0.882113642
a05,B,fooof,central,1.25002746,1.26283873
a05,B,fooof,parietal,1.256347124,1.265025319
a05,B,fooof,occipital,1.05702438,1.082414082
a05,C,lmer,frontal,1.440563079,-0.717310513
a05,C,lmer,central,2.642656737,-1.081457115
a05,C,lmer,parietal,2.776984208,-1.078137662
a05,C,lmer,occipital,2.769101656,-1.044298066
a05,C,fooof,frontal,0.552772945,0.660111339
a05,C,fooof,central,1.030855988,1.035150627
a05,C,fooof,parietal,1.063926212,1.039048434
a05,C,fooof,occipital,1.083937663,1.070087384
a06,A,lmer,frontal,2.350401868,-1.079767641
a06,A,lmer,central,3.05075461,-1.377517716
a06,A,lmer,parietal,3.301238633,-1.530413178
a06,A,lmer,occipital,3.354276641,-1.46269
a06,A,fooof,frontal,0.949312933,1.026853736
a06,A,fooof,central,1.178919227,1.277865573
